Date,Biomass,Hydropower,Wind_Offshore,Wind_Onshore,Solar,Other_Renewable
2025-07-01,3783.8458333333333,1758.0720833333332,1509.5112499999998,4422.682916666667,18116.681666666667,73.17916666666666
2025-07-02,3677.85,1738.5345833333333,1889.2308333333333,7587.915416666667,17129.795000000002,69.815
2025-07-03,3830.3604166666664,1772.1166666666668,2565.4758333333334,13429.675416666667,13355.387916666667,78.95041666666667
2025-07-04,3890.225,1595.40125,3210.9475,4436.5737500000005,17084.17875,85.48166666666667
2025-07-05,3830.92375,1522.8258333333333,4055.3545833333333,12659.706250000001,14926.034583333334,86.66416666666667
2025-07-06,3887.8541666666665,1499.2325,1739.7416666666668,11034.424583333333,10154.07625,87.355
2025-07-07,3905.8945833333332,1640.2524999999998,3220.59125,8254.440833333334,10136.239583333334,87.63166666666666
2025-07-08,3863.2775,1787.7520833333335,3685.7925,12395.8225,11360.448750000001,93.41166666666668
2025-07-09,3903.9670833333334,1962.5483333333334,996.4483333333333,10641.22125,11623.5575,94.19583333333333
2025-07-10,3934.1708333333336,1806.1604166666666,819.7312499999999,4618.599583333334,14855.197916666666,93.13125000000001
2025-07-11,3870.049166666667,1700.6875,1860.5075,8411.997083333334,13422.879166666668,94.08708333333334
2025-07-12,3863.5495833333334,1618.33,2803.5170833333336,7592.504583333332,10351.273333333333,95.1125
2025-07-13,3796.8970833333333,1575.92125,1460.625,3107.508333333333,13270.35125,91.14833333333333
2025-07-14,3818.818333333333,1572.88,202.11458333333334,4922.234583333334,11772.699999999999,91.45666666666666
2025-07-15,3806.18625,1580.2124999999999,1703.4008333333334,8475.46375,11327.965833333334,93.25291666666668
2025-07-16,3895.1216666666664,1644.385,1184.2308333333333,8765.12375,10767.664583333333,93.41541666666666
2025-07-17,3895.575833333334,1870.7454166666666,2667.6841666666664,11003.258333333333,10689.5575,97.70791666666666
2025-07-18,3923.807083333333,1871.6295833333334,139.93291666666667,1487.2558333333334,13753.71125,95.33
2025-07-19,3873.056666666667,1714.3975,1170.6666666666667,4756.6954166666665,16497.690416666668,88.46958333333333
2025-07-20,3796.22625,1737.1029166666667,2049.8254166666666,6230.6175,14437.950833333334,85.05958333333334
2025-07-21,3893.3683333333333,1998.5966666666666,1128.6116666666667,7139.515416666666,6788.49125,86.0175
2025-07-22,3919.605,2207.1475,1246.45625,14713.150416666665,10682.159166666666,86.54916666666666
2025-07-23,3935.5904166666664,2176.69125,3562.388333333334,18722.255416666667,11946.922083333333,80.01541666666667
2025-07-24,3826.1420833333336,2151.1037499999998,984.9241666666667,3019.8633333333332,10027.50375,95.02041666666666
2025-07-25,3857.521666666667,2207.6741666666667,1400.8075,3951.2937500000003,10645.516249999999,94.25583333333333
2025-07-26,3948.4758333333334,2262.5366666666664,794.7995833333333,2026.2625,10181.682083333333,94.93708333333332
2025-07-27,3936.9491666666668,2263.3141666666666,1043.5541666666666,3581.0245833333333,10113.577083333334,94.01708333333333
2025-07-28,3945.4449999999997,2404.48625,1988.16625,11381.867916666668,9679.08625,91.08749999999999
2025-07-29,3919.3241666666668,2273.6325,4654.2612500000005,12190.456250000001,12399.670416666666,91.18333333333334
2025-07-30,3912.8050000000003,2264.31125,5601.193749999999,11979.169166666667,10380.866250000001,94.20666666666666
2025-07-31,3962.115,2367.96375,3711.4991666666665,14053.110416666668,9470.060833333333,89.47916666666667
2025-08-01,3981.035,2332.9566666666665,1350.6779166666668,7551.68,10939.390416666667,102.08
2025-08-02,3972.867083333333,2374.570416666667,4286.55375,7615.2,10482.036666666667,106.93833333333333
2025-08-03,3931.789583333333,2326.6233333333334,4348.155833333333,12268.85375,8869.51125,102.95208333333333
2025-08-04,4009.51375,2373.70125,3814.4725,14999.534583333334,9962.423333333334,103.26583333333333
2025-08-05,3888.2958333333336,2153.8395833333334,5929.64375,18594.110833333336,10395.754583333333,101.29583333333333
2025-08-06,3995.409166666667,2286.6429166666667,4194.5475,11212.331250000001,14825.367916666668,95.08
2025-08-07,3992.3116666666665,2226.202083333333,2408.50625,4361.868333333333,15830.376250000001,93.03458333333333
2025-08-08,3978.9175,2099.08625,1513.2045833333332,6460.785,14463.2675,97.42708333333333
2025-08-09,3927.9154166666667,1985.627083333333,1311.6729166666667,3972.6608333333334,15221.398333333333,95.83833333333332
2025-08-10,3886.45375,1789.72,1606.0241666666668,7757.958750000001,15798.128333333334,99.85166666666667
2025-08-11,3935.19,1922.8170833333334,228.08875,3039.3420833333334,17572.255416666667,102.73416666666667
2025-08-12,3874.56625,1931.8658333333333,976.8795833333334,5657.171249999999,15561.419583333334,103.52458333333334
2025-08-13,3836.00125,1861.1654166666667,1193.4508333333333,5069.117499999999,15931.950416666667,99.02291666666667
2025-08-14,3780.5383333333334,1893.6041666666667,1413.45625,2672.023333333333,15031.213333333333,96.72541666666666
2025-08-15,3676.040833333333,1748.1195833333334,1860.0091666666667,6707.38625,14989.69375,95.4325
2025-08-16,3722.11875,1642.2924999999998,4414.8845833333335,10862.675000000001,11073.720416666665,102.08208333333334
2025-08-17,3771.9045833333334,1665.6429166666667,2036.0945833333333,4853.919583333333,13143.200416666667,102.74000000000001
2025-08-18,3794.3895833333336,1723.6679166666665,80.89625,2373.9866666666667,17085.099583333333,108.41583333333334
2025-08-19,3733.265,1702.7666666666667,1261.0029166666666,3422.4599999999996,16746.145416666666,104.2925
2025-08-20,3764.46625,1745.6975,2068.4175,5604.92625,12682.645833333334,101.73958333333333
2025-08-21,3782.70875,1907.3941666666667,2943.1995833333335,9041.325416666667,11805.20875,100.53875
2025-08-22,3821.763333333334,2164.00125,4569.60875,12015.078333333333,10481.680416666668,100.67083333333333
2025-08-23,3819.795,2016.9916666666668,4098.32875,11692.715416666666,10142.167916666667,100.33375000000001
2025-08-24,3804.4308333333333,1858.8416666666665,1990.0058333333334,6526.919166666667,12253.453333333333,102.05375
2025-08-25,3810.1966666666667,1870.58875,968.9899999999999,5017.222083333333,14033.736666666666,99.08749999999999
2025-08-26,3789.0358333333334,1807.9816666666666,1182.2762500000001,3535.164166666667,15004.980833333333,91.46208333333334
2025-08-27,3718.7775,1830.7479166666665,1435.2025,7996.677500000001,11751.2575,87.22291666666666
2025-08-28,3742.00375,1822.40625,707.47125,4194.89375,5901.294166666667,95.90833333333335
2025-08-29,3737.32375,2060.7545833333334,1763.6483333333333,6427.47375,10941.131666666666,98.54208333333334
2025-08-30,3723.5616666666665,2038.8149999999998,1831.6287499999999,8045.989583333333,11305.751666666665,97.68
2025-08-31,3651.5520833333335,1793.6829166666666,3007.9220833333334,7913.525833333333,12785.943333333335,94.24041666666666
2025-09-01,3729.522916666667,1865.7533333333333,1644.11,7878.05875,8522.710833333333,100.02083333333333
2025-09-02,3856.9666666666667,1877.2579166666667,1587.165,6279.91,9354.417916666667,107.0575
2025-09-03,3794.3375,1759.2895833333332,4215.515,19827.179583333334,11346.919583333334,103.51208333333334
2025-09-04,3836.3470833333336,1812.1845833333334,3385.8199999999997,12993.264166666668,11333.848333333333,102.72833333333334
2025-09-05,3922.737916666667,1880.3370833333336,1993.2783333333334,7521.5625,8526.424583333333,104.95041666666667
2025-09-06,3941.1454166666667,1941.7404166666665,543.6595833333333,2917.052916666667,14536.520416666666,100.91166666666668
2025-09-07,3860.2762500000003,1611.5420833333335,3565.160416666667,12174.327916666667,13439.29,97.03750000000001
2025-09-08,3969.096666666667,1863.60625,2514.4708333333333,7068.270833333333,9984.224166666667,92.3825
2025-09-09,3895.94375,2037.2529166666666,938.8504166666667,3374.27,6779.749166666667,98.73625
2025-09-10,3790.0166666666664,1851.4179166666665,1456.6070833333333,2539.273333333333,6730.849166666667,96.54208333333334
2025-09-11,3736.6983333333333,1727.2883333333332,4795.6329166666665,18329.059166666666,9020.8825,100.06708333333334
2025-09-12,3785.7570833333334,1705.7375,4742.675,19668.1575,9786.909166666666,90.15375
2025-09-13,3952.86875,1618.62625,5017.43375,14631.02375,10179.588333333333,78.24958333333333
2025-09-14,3971.6800000000003,1621.9099999999999,2254.1495833333333,10156.454166666666,9853.065416666666,79.63541666666667
2025-09-15,3745.434583333333,1543.62625,4918.662083333334,31844.12958333333,9363.752916666666,86.58125
2025-09-16,3612.9641666666666,1567.88375,4939.422083333334,34346.785833333335,7997.289583333334,100.08041666666666
2025-09-17,3779.8970833333333,1539.2883333333332,6005.269583333334,21045.987083333333,8339.843333333332,102.76875
2025-09-18,3712.927916666667,1532.13,6006.88625,21295.73125,10224.675000000001,100.78958333333334
2025-09-19,3764.619166666667,1421.32125,4388.200416666667,10557.52375,12936.914166666667,101.12875000000001
2025-09-20,3708.644166666667,1341.60125,4427.8237500000005,14606.388333333334,12045.494166666665,101.94333333333333
2025-09-21,3648.852083333333,1330.8304166666667,5422.8133333333335,18169.749166666665,7046.96375,100.27
2025-09-22,3872.6245833333337,1494.5125,4988.40875,12137.012499999999,5090.0441666666675,100.65249999999999
2025-09-23,4017.335416666667,1737.6679166666665,1594.33375,10371.375833333334,8098.322499999999,104.30083333333333
2025-09-24,3996.232083333333,1639.6429166666667,2581.8533333333335,24678.88875,6679.638333333333,107.74624999999999
2025-09-25,4034.5791666666664,1762.27375,4894.9295833333335,25275.960833333334,4711.654166666666,109.96833333333335
2025-09-26,4091.165833333333,1774.3770833333335,5901.950833333333,15315.938333333334,5187.167916666666,108.27208333333334
2025-09-27,4092.79125,1738.2283333333335,3032.1054166666668,7099.173333333333,6168.630833333334,105.40166666666666
2025-09-28,4062.130416666667,1613.3066666666666,916.3179166666667,3789.24375,9012.0975,107.56
2025-09-29,4106.852916666667,1594.9583333333333,916.9533333333334,3907.5008333333335,8747.329166666666,107.06124999999999
2025-09-30,4134.9825,1564.27125,848.77,5248.3475,7117.09375,110.08416666666666
